epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,1402.54,0.66996,0.37103,0.83057,0.93607,0.95686,0.98358,0.80735,0.64887,0.35496,0.8339,0.00069682,0.00069682,0.00069682
58,1425.76,0.67416,0.37279,0.83124,0.93144,0.9609,0.98509,0.81029,0.64779,0.35939,0.8351,0.000687222,0.000687222,0.000687222
59,1449.09,0.66382,0.36686,0.82933,0.9317,0.96212,0.98409,0.81276,0.63299,0.35055,0.82982,0.000677543,0.000677543,0.000677543
60,1472.71,0.66194,0.36607,0.82863,0.93631,0.95905,0.98489,0.81564,0.6307,0.35043,0.8324,0.000667789,0.000667789,0.000667789
61,1496.39,0.65656,0.36232,0.82691,0.93808,0.95902,0.98466,0.81381,0.63065,0.35079,0.83013,0.000657963,0.000657963,0.000657963
62,1519.94,0.65849,0.36152,0.82988,0.94055,0.95492,0.98517,0.81621,0.62988,0.34527,0.83215,0.000648071,0.000648071,0.000648071
63,1543.92,0.65661,0.36154,0.82778,0.9444,0.95197,0.984,0.81296,0.63265,0.34995,0.83149,0.000638115,0.000638115,0.000638115
64,1567.87,0.6543,0.36075,0.82718,0.9402,0.95265,0.98462,0.81572,0.62882,0.34867,0.83093,0.000628101,0.000628101,0.000628101
65,1591.74,0.65771,0.36079,0.82669,0.94269,0.95299,0.98548,0.81743,0.62751,0.34881,0.82962,0.000618034,0.000618034,0.000618034
66,1615.79,0.65159,0.35996,0.82772,0.93722,0.95248,0.98382,0.81372,0.63023,0.34931,0.8324,0.000607916,0.000607916,0.000607916
67,1639.71,0.64805,0.3534,0.82584,0.93515,0.95671,0.98468,0.81775,0.6238,0.34223,0.83181,0.000597754,0.000597754,0.000597754
68,1663.54,0.64587,0.35569,0.82592,0.94444,0.94901,0.98479,0.81575,0.62951,0.34919,0.83148,0.000587551,0.000587551,0.000587551
69,1687.51,0.65091,0.35455,0.82644,0.94421,0.95481,0.98505,0.81701,0.62577,0.34298,0.82925,0.000577311,0.000577311,0.000577311
70,1711.32,0.64735,0.35358,0.82449,0.94231,0.95126,0.98404,0.81644,0.62508,0.34654,0.83001,0.00056704,0.00056704,0.00056704
71,1735.16,0.64603,0.35257,0.82335,0.94213,0.95396,0.98456,0.81329,0.62931,0.3432,0.83037,0.000556742,0.000556742,0.000556742
72,1758.55,0.64288,0.35192,0.82448,0.94251,0.95526,0.98516,0.81846,0.62197,0.34156,0.82924,0.000546421,0.000546421,0.000546421
73,1781.85,0.64613,0.35217,0.82548,0.94161,0.95547,0.98535,0.81789,0.62199,0.3426,0.82937,0.000536081,0.000536081,0.000536081
74,1805,0.63925,0.34745,0.82542,0.94031,0.95625,0.98532,0.81514,0.62446,0.34056,0.82895,0.000525728,0.000525728,0.000525728
75,1828.06,0.63974,0.34734,0.82362,0.93761,0.95691,0.98501,0.81585,0.62883,0.34228,0.83182,0.000515366,0.000515366,0.000515366
76,1851.86,0.63828,0.34672,0.82355,0.94409,0.95017,0.98462,0.81555,0.62436,0.3364,0.83048,0.000505,0.000505,0.000505
77,1875.83,0.6332,0.34325,0.82172,0.93868,0.95769,0.98473,0.81954,0.61359,0.33335,0.8278,0.000494634,0.000494634,0.000494634
78,1899.95,0.63284,0.34466,0.82068,0.93503,0.95972,0.9854,0.81756,0.62042,0.33397,0.82924,0.000484272,0.000484272,0.000484272
79,1923.95,0.62715,0.34183,0.82248,0.94074,0.95315,0.98454,0.81778,0.62377,0.3405,0.82921,0.000473919,0.000473919,0.000473919
80,1948.08,0.63124,0.34308,0.82277,0.93718,0.95946,0.98494,0.82135,0.61436,0.33416,0.82825,0.000463579,0.000463579,0.000463579
81,1972.29,0.63051,0.34416,0.8226,0.9431,0.95359,0.98485,0.81583,0.62559,0.34451,0.83,0.000453258,0.000453258,0.000453258
